"Destination","Location code of destination","Origin","Location code of origin","2000","2005","2010","2015","2020","Total (2000-2020)"
"Northern Mariana Islands",580,"WORLD",900,40122,37542,24168,21648,21843,145323
"Northern Mariana Islands",580,"South-Eastern Asia",920,13757,15233,12330,11045,11150,63515
"Northern Mariana Islands",580,"Philippines",608,13757,15233,12330,11045,11150,63515
"American Samoa",16,"WORLD",900,24912,24233,23555,23513,23608,119821
"American Samoa",16,"South-Eastern Asia",920,864,1097,1329,1326,1328,5944
"American Samoa",16,"Philippines",608,661,889,1117,1115,1118,4900
"American Samoa",16,"Viet Nam",704,203,208,212,211,210,1044
"French Polynesia",258,"WORLD",900,30329,32286,31640,30058,30081,154394
"French Polynesia",258,"South-Eastern Asia",920,18,18,18,17,17,88
"French Polynesia",258,"Indonesia",360,18,18,18,17,17,88
