"Region, subregion, country or area",Origin Latitude,Origin Longitude,Total Population (2000),Total Population (2005),Total Population (2010),Total Population (2015),Total Population (2020),Destination,Destination Latitude,Destination Longitude,Total Migrants (2000),Total Migrants (2005),Total Migrants (2010),Total Migrants (2015),Total Migrants (2020),Total Migrants (2000-2020),Proportion of Emigration per Population (%) (2000),Proportion of Emigration per Population (%) (2005),Proportion of Emigration per Population (%) (2010),Proportion of Emigration per Population (%) (2015),Proportion of Emigration per Population (%) (2020),Number of Emigration per Population ( '000s) (2000),Number of Emigration per Population ( '000s) (2005),Number of Emigration per Population ( '000s) (2010),Number of Emigration per Population ( '000s) (2015),Number of Emigration per Population ( '000s) (2020),,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Republic of Korea,35.907757,127.766922,1193,1978,3544,18128,26922,51765,0.002619771,0.004144624,0.007175398,0.035210974,0.050393838,0.02619771,0.041446243,0.071753981,0.352109742,0.503938383,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Republic of Korea,35.907757,127.766922,17932,22847,34918,51632,64942,192271,0.023002064,0.026485821,0.036896891,0.050112895,0.057885225,0.230020636,0.264858207,0.36896891,0.501128952,0.578852255,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Republic of Korea,35.907757,127.766922,3640,12233,31372,77548,159264,284057,0.005771676,0.018585152,0.045952505,0.110318892,0.222822694,0.05771676,0.185851523,0.459525052,1.103188921,2.228226939,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Republic of Korea,35.907757,127.766922,17554,45497,91420,124852,177274,456597,0.022219932,0.054721979,0.104586365,0.135426952,0.183421016,0.22219932,0.547219793,1.045863649,1.354269517,1.83421016,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Brunei Darussalam,4.535277,114.727669,5778,5907,6036,6165,6717,30603,0.002699087,0.002581673,0.002473607,0.002379464,0.002470775,0.026990866,0.025816727,0.024736065,0.023794639,0.024707755,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Brunei Darussalam,4.535277,114.727669,45258,46267,47276,48285,52628,239714,0.197244298,0.178474881,0.164623034,0.155412983,0.158518106,1.972442978,1.784748809,1.646230338,1.554129825,1.585181057,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Brunei Darussalam,4.535277,114.727669,12614,12895,13176,13457,14664,66806,0.016180461,0.014948775,0.013922717,0.013061071,0.01307057,0.161804612,0.149487748,0.139227171,0.130610713,0.130705698,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Brunei Darussalam,4.535277,114.727669,1445,1477,1509,1541,1678,7650,0.035647308,0.033995936,0.029223854,0.027274249,0.028393184,0.356473082,0.339959357,0.292238539,0.272742494,0.283931843,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Brunei Darussalam,4.535277,114.727669,13482,13782,14083,14384,15674,71405,0.0213774,0.020938492,0.02062824,0.020462513,0.021929142,0.213774,0.209384917,0.206282395,0.204625128,0.219291422,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Singapore,1.352083,103.819836,50277,91090,136979,157139,159685,595170,0.023485977,0.039811168,0.056135214,0.060649892,0.058738392,0.234859772,0.398111679,0.561352136,0.60649892,0.58738392,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Singapore,1.352083,103.819836,710434,818337,971827,1114858,1132924,4748380,3.096227307,3.156733711,3.384066102,3.588348491,3.412422406,30.96227307,31.56733711,33.84066102,35.88348491,34.12422406,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Singapore,1.352083,103.819836,4027,8195,12820,14706,14944,54692,0.005165587,0.00950021,0.013546542,0.014273323,0.013320144,0.051655872,0.095002101,0.135465417,0.142733235,0.133201443,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Singapore,1.352083,103.819836,4921,10010,15658,17962,18253,66804,0.007802862,0.015207829,0.022935239,0.025552534,0.025537363,0.07802862,0.152078292,0.229352393,0.255525344,0.255373633,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Bahrain,25.930414,50.637772,9152,14859,23845,25851,33493,107200,0.004275189,0.006494172,0.009771893,0.009977538,0.012320036,0.042751887,0.064941722,0.097718933,0.099775381,0.123200361,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Bahrain,25.930414,50.637772,12508,24672,42281,45839,59391,184691,0.016044491,0.028601487,0.044677171,0.044490336,0.052937412,0.160444909,0.286014868,0.446771707,0.444903355,0.529374122,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Bahrain,25.930414,50.637772,353,591,960,1040,1347,4291,0.000559726,0.000897885,0.001406171,0.001479492,0.001884558,0.005597257,0.008978848,0.014061713,0.01479492,0.018845575,,,,
Brunei Darussalam,4.535277,114.727669,333926,366717,396053,421437,441725,Cyprus,35.126413,33.429859,2,3,3,2,1,11,0.000598935,0.00081807,0.000757474,0.000474567,0.000226385,0.005989351,0.008180695,0.007574744,0.004745668,0.002263852,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Cyprus,35.126413,33.429859,79,118,181,165,169,712,3.69034E-05,5.15723E-05,7.41754E-05,6.36839E-05,6.21648E-05,0.000369034,0.000515723,0.000741754,0.000636839,0.000621648,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Cyprus,35.126413,33.429859,2,3,3,2,1,11,3.68266E-05,5.1256E-05,4.74427E-05,2.94663E-05,1.36623E-05,0.000368266,0.00051256,0.000474427,0.000294663,0.000136623,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Cyprus,35.126413,33.429859,20,31,48,43,44,186,8.71644E-05,0.000119582,0.000167144,0.000138402,0.00013253,0.000871644,0.001195825,0.001671441,0.001384024,0.001325301,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Cyprus,35.126413,33.429859,20,31,48,43,44,186,4.3919E-05,6.49562E-05,9.71837E-05,8.35212E-05,8.23612E-05,0.00043919,0.000649562,0.000971837,0.000835212,0.000823612,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Cyprus,35.126413,33.429859,3277,4927,7560,6941,7165,29870,0.004203533,0.005711719,0.007988444,0.006736784,0.006386432,0.042035335,0.057117188,0.079884442,0.067367835,0.063864316,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Cyprus,35.126413,33.429859,15,23,35,31,31,135,0.000370041,0.000529388,0.000677823,0.000548671,0.000524546,0.003700413,0.005293883,0.00677823,0.005486708,0.005245463,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Cyprus,35.126413,33.429859,119,179,273,250,256,1077,0.000188689,0.000271948,0.00039988,0.000355647,0.000358164,0.001886894,0.002719482,0.0039988,0.003556471,0.003581639,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Cyprus,35.126413,33.429859,29,44,65,59,60,257,3.67083E-05,5.29214E-05,7.43613E-05,6.39973E-05,6.20805E-05,0.000367083,0.000529214,0.000743613,0.000639973,0.000620805,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Kuwait,29.31166,47.481766,43100,52868,75932,99485,107953,379338,0.020133373,0.023106124,0.03111761,0.038397562,0.039709338,0.201333735,0.231061239,0.311176096,0.383975621,0.397093379,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Kuwait,29.31166,47.481766,58906,76339,112977,181462,196910,626594,0.075560983,0.088497442,0.119379691,0.176123067,0.175513223,0.755609835,0.884974424,1.19379691,1.76123067,1.755132233,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Kuwait,29.31166,47.481766,1666,1801,2388,3755,4073,13683,0.002641652,0.002736194,0.003497851,0.00534182,0.005698443,0.026416517,0.027361938,0.03497851,0.053418198,0.05698443,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Oman,21.512583,55.923255,17274,19887,25710,58468,74739,196078,0.008069232,0.008691675,0.010536187,0.022566504,0.027491929,0.080692319,0.086916752,0.105361869,0.225665041,0.27491929,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Oman,21.512583,55.923255,6412,10324,15904,36168,46233,115041,0.008224918,0.011968294,0.01680532,0.035103873,0.041209196,0.082249181,0.11968294,0.168053197,0.351038735,0.412091964,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Qatar,25.354826,51.183884,133562,64612,48072,43049,43839,333134,0.062391035,0.028238876,0.019700334,0.016615335,0.0161257,0.623910354,0.282388756,0.197003336,0.166153355,0.161256998,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Qatar,25.354826,51.183884,44593,54268,107963,148496,170052,525372,0.05720115,0.062911214,0.114081535,0.144126985,0.151573687,0.572011499,0.629112145,1.14081535,1.44126985,1.515736867,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Qatar,25.354826,51.183884,2935,1725,1916,2291,2331,11198,0.00465381,0.00262073,0.002806483,0.00325915,0.00326125,0.046538102,0.026207298,0.028064835,0.032591502,0.032612499,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Saudi Arabia,23.885942,45.079162,104750,129398,167772,214371,267776,884067,0.230025992,0.271135535,0.339681401,0.416384143,0.501235437,2.300259922,2.711355355,3.39681401,4.163841433,5.012354371,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Saudi Arabia,23.885942,45.079162,668666,825998,1070951,1368407,1709318,5643340,0.312355042,0.361004996,0.438885254,0.528154925,0.628754051,3.123550418,3.610049956,4.388852537,5.281549251,6.287540512,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Saudi Arabia,23.885942,45.079162,252250,311603,404010,516223,644828,2128914,0.323570741,0.361231723,0.426906264,0.501034806,0.574759234,3.235707412,3.612317234,4.269062636,5.010348062,5.74759234,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,United Arab Emirates,23.424076,53.847818,94285,121621,267618,292432,318809,1094765,0.044043506,0.053154836,0.109672239,0.112868029,0.117270426,0.440435062,0.531548364,1.096722388,1.128680291,1.172704262,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,United Arab Emirates,23.424076,53.847818,128860,202658,474083,518041,564769,1888411,0.16529366,0.234935153,0.500950477,0.502799317,0.503399663,1.652936599,2.349351534,5.009504769,5.027993175,5.033996629,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,United Arab Emirates,23.424076,53.847818,3647,4842,10763,11760,12819,43831,0.005782775,0.007356275,0.015765231,0.016729641,0.017934776,0.057827754,0.073562746,0.157652306,0.167296406,0.179347757,,,,
Brunei Darussalam,4.535277,114.727669,333926,366717,396053,421437,441725,Czechia,49.817492,15.472962,0,0,0,1,0,1,0,0,0,0.000237283,0,0,0,0,0.002372834,0,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Czechia,49.817492,15.472962,8,15,20,40,60,143,6.60129E-05,0.000113237,0.000139242,0.000259445,0.000365924,0.000660129,0.001132367,0.001392415,0.00259445,0.003659237,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Czechia,49.817492,15.472962,43,84,118,179,333,757,2.00867E-05,3.67125E-05,4.83575E-05,6.90874E-05,0.00012249,0.000200867,0.000367125,0.000483575,0.000690874,0.001224904,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Czechia,49.817492,15.472962,4,16,27,25,35,107,7.36533E-05,0.000273365,0.000426984,0.000368329,0.000478181,0.000736533,0.002733655,0.004269843,0.003683285,0.004781813,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Czechia,49.817492,15.472962,7,179,333,356,219,1094,3.05075E-05,0.000690492,0.001159562,0.001145843,0.000659639,0.000305075,0.006904922,0.011595624,0.011458428,0.006596387,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Czechia,49.817492,15.472962,1,30,56,130,146,363,2.19595E-06,6.28608E-05,0.000113381,0.000252506,0.00027329,2.19595E-05,0.000628608,0.00113381,0.002525059,0.002732895,,,,
