"Region, subregion, country or area",Origin Latitude,Origin Longitude,Total Population (2000),Total Population (2005),Total Population (2010),Total Population (2015),Total Population (2020),Destination,Destination Latitude,Destination Longitude,Total Migrants (2000),Total Migrants (2005),Total Migrants (2010),Total Migrants (2015),Total Migrants (2020),Total Migrants (2000-2020),Proportion of Emigration per Population (%) (2000),Proportion of Emigration per Population (%) (2005),Proportion of Emigration per Population (%) (2010),Proportion of Emigration per Population (%) (2015),Proportion of Emigration per Population (%) (2020),Number of Emigration per Population ( '000s) (2000),Number of Emigration per Population ( '000s) (2005),Number of Emigration per Population ( '000s) (2010),Number of Emigration per Population ( '000s) (2015),Number of Emigration per Population ( '000s) (2020),,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Poland,51.919438,19.145136,1713,2268,2896,2757,3681,13315,0.002168323,0.00272786,0.003313084,0.002990518,0.00380864,0.021683231,0.027278601,0.033130837,0.029905176,0.038086395,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Romania,45.943161,24.96676,0,0,0,3,14,17,0,0,0,1.94584E-05,8.53822E-05,0,0,0,0.000194584,0.000853822,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Romania,45.943161,24.96676,0,0,0,13,177,190,0,0,0,5.01752E-06,6.51075E-05,0,0,0,5.01752E-05,0.000651075,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Romania,45.943161,24.96676,0,0,0,0,2,2,0,0,0,0,2.73246E-05,0,0,0,0,0.000273246,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Romania,45.943161,24.96676,0,0,0,1,67,68,0,0,0,3.21866E-06,0.000201807,0,0,0,3.21866E-05,0.002018073,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Romania,45.943161,24.96676,0,0,0,0,11,11,0,0,0,0,2.05903E-05,0,0,0,0,0.000205903,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Romania,45.943161,24.96676,14,11,47,40,751,863,1.79583E-05,1.2752E-05,4.96636E-05,3.88231E-05,0.000669394,0.000179583,0.00012752,0.000496636,0.000388231,0.006693943,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Romania,45.943161,24.96676,0,0,0,9,71,80,0,0,0,0.000159292,0.00120138,0,0,0,0.001592915,0.012013803,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Romania,45.943161,24.96676,0,0,0,12,178,190,0,0,0,1.70711E-05,0.000249036,0,0,0,0.000170711,0.002490358,,,,
Timor-Leste,-8.874217,125.727539,878360,969313,1088486,1205813,1299995,Romania,45.943161,24.96676,0,0,0,1,1,2,0,0,0,8.29316E-05,7.69234E-05,0,0,0,0.000829316,0.000769234,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Romania,45.943161,24.96676,8,9,21,80,2383,2501,1.01264E-05,1.08248E-05,2.40244E-05,8.6776E-05,0.002465631,0.000101264,0.000108248,0.000240244,0.00086776,0.024656311,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Slovakia,48.669026,19.699024,0,0,0,8,10,18,0,0,0,5.1889E-05,6.09873E-05,0,0,0,0.00051889,0.000609873,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Slovakia,48.669026,19.699024,17,20,22,35,50,144,7.94124E-06,8.74106E-06,9.0158E-06,1.35087E-05,1.8392E-05,7.94124E-05,8.74106E-05,9.0158E-05,0.000135087,0.00018392,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Slovakia,48.669026,19.699024,0,0,0,6,5,11,0,0,0,8.83988E-05,6.83116E-05,0,0,0,0.000883988,0.000683116,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Slovakia,48.669026,19.699024,0,0,0,18,23,41,0,0,0,5.79359E-05,6.92771E-05,0,0,0,0.000579359,0.000692771,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Slovakia,48.669026,19.699024,0,0,0,4,3,7,0,0,0,7.76941E-06,5.61554E-06,0,0,0,7.76941E-05,5.61554E-05,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Slovakia,48.669026,19.699024,19,22,24,34,63,162,2.4372E-05,2.55039E-05,2.53601E-05,3.29997E-05,5.61542E-05,0.00024372,0.000255039,0.000253601,0.000329997,0.000561542,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Slovakia,48.669026,19.699024,0,0,0,17,20,37,0,0,0,0.000300884,0.000338417,0,0,0,0.00300884,0.00338417,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Slovakia,48.669026,19.699024,40,45,50,71,107,313,6.3425E-05,6.83669E-05,7.32381E-05,0.000101004,0.000149701,0.00063425,0.000683669,0.000732381,0.001010038,0.001497013,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Slovakia,48.669026,19.699024,1381,1546,1737,2145,2373,9182,0.001748076,0.001859467,0.001987164,0.002326681,0.002455284,0.01748076,0.018594672,0.019871638,0.023266813,0.024552843,,,,
Brunei Darussalam,4.535277,114.727669,333926,366717,396053,421437,441725,Denmark,56.26392,9.501785,4,4,4,7,8,27,0.00119787,0.001090759,0.001009966,0.001660984,0.001811082,0.011978702,0.010907594,0.010099658,0.016609837,0.018110816,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Denmark,56.26392,9.501785,129,162,186,234,288,999,0.001064458,0.001222957,0.001294946,0.001517754,0.001756434,0.010644582,0.012229569,0.012949461,0.015177535,0.017564339,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Denmark,56.26392,9.501785,633,866,1050,1135,1294,4978,0.000295694,0.000378488,0.000430299,0.000438068,0.000475984,0.002956943,0.00378488,0.004302993,0.004380684,0.004759838,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Denmark,56.26392,9.501785,24,38,49,66,71,248,0.00044192,0.000649243,0.000774897,0.000972387,0.000970025,0.004419195,0.00649243,0.007748974,0.009723873,0.00970025,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Denmark,56.26392,9.501785,404,553,670,821,902,3350,0.001760721,0.002133197,0.002333053,0.00264252,0.002716868,0.017607207,0.021331966,0.023330534,0.026425196,0.02716868,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Denmark,56.26392,9.501785,64,657,1193,1722,1764,5400,0.000140541,0.001376652,0.00241542,0.003344732,0.003301936,0.001405409,0.013766522,0.024154204,0.033447318,0.033019364,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Denmark,56.26392,9.501785,3929,6631,8921,10772,12121,42374,0.005039879,0.007687113,0.009426576,0.010455069,0.010803899,0.050398789,0.076871133,0.094265755,0.104550687,0.108038991,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Denmark,56.26392,9.501785,379,528,647,723,921,3198,0.009349709,0.012152914,0.012530042,0.012796419,0.015584102,0.093497092,0.12152914,0.125300421,0.127964194,0.155841018,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Denmark,56.26392,9.501785,5596,8144,10227,12322,14225,50514,0.008873159,0.012372883,0.014980118,0.017529135,0.019901879,0.088731591,0.123728832,0.149801183,0.175291354,0.199018788,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Denmark,56.26392,9.501785,8651,9215,9448,9781,10384,47479,0.010950475,0.011083435,0.010808707,0.01060945,0.010744068,0.109504746,0.110834349,0.108087068,0.106094497,0.107440675,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Estonia,58.595272,25.013607,0,0,4,9,6,19,0,0,2.78483E-05,5.83751E-05,3.65924E-05,0,0,0.000278483,0.000583751,0.000365924,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Estonia,58.595272,25.013607,0,0,6,12,40,58,0,0,2.45885E-06,4.63156E-06,1.47136E-05,0,0,2.45885E-05,4.63156E-05,0.000147136,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Estonia,58.595272,25.013607,0,0,2,8,17,27,0,0,6.96434E-06,2.57493E-05,5.12048E-05,0,0,6.96434E-05,0.000257493,0.000512048,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Estonia,58.595272,25.013607,0,0,0,2,1,3,0,0,0,3.88471E-06,1.87185E-06,0,0,0,3.88471E-05,1.87185E-05,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Estonia,58.595272,25.013607,0,0,17,56,106,179,0,0,1.79634E-05,5.43524E-05,9.44818E-05,0,0,0.000179634,0.000543524,0.000944818,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Estonia,58.595272,25.013607,0,0,3,9,18,30,0,0,5.80991E-05,0.000159292,0.000304575,0,0,0.000580991,0.001592915,0.003045753,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Estonia,58.595272,25.013607,0,0,15,44,109,168,0,0,2.19714E-05,6.25939E-05,0.000152499,0,0,0.000219714,0.000625939,0.001524995,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Estonia,58.595272,25.013607,0,0,11,32,53,96,0,0,1.25842E-05,3.47104E-05,5.48378E-05,0,0,0.000125842,0.000347104,0.000548378,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Faroe Islands,61.892635,-6.911806,0,3,6,10,11,30,0,1.31116E-06,2.45885E-06,3.85963E-06,4.04623E-06,0,1.31116E-05,2.45885E-05,3.85963E-05,4.04623E-05,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Faroe Islands,61.892635,-6.911806,20,33,61,130,213,457,2.56548E-05,3.82559E-05,6.4457E-05,0.000126175,0.000189855,0.000256548,0.000382559,0.00064457,0.001261752,0.001898548,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Faroe Islands,61.892635,-6.911806,17,47,72,112,138,386,2.69556E-05,7.14054E-05,0.000105463,0.00015933,0.000193073,0.000269556,0.000714054,0.001054628,0.001593299,0.001930727,,,,
Brunei Darussalam,4.535277,114.727669,333926,366717,396053,421437,441725,Finland,61.92411,25.748151,0,0,0,2,4,6,0,0,0,0.000474567,0.000905541,0,0,0,0.004745668,0.009055408,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Finland,61.92411,25.748151,83,157,214,256,320,1030,0.000684884,0.001185211,0.001489884,0.001660448,0.001951593,0.00684884,0.011852113,0.014898842,0.016604483,0.019515932,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Finland,61.92411,25.748151,112,229,311,466,709,1827,5.23187E-05,0.000100085,0.000127451,0.000179859,0.000260798,0.000523187,0.001000852,0.001274506,0.001798589,0.002607979,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Finland,61.92411,25.748151,5,13,15,42,56,131,9.20666E-05,0.000222109,0.000237213,0.000618792,0.00076509,0.000920666,0.002221095,0.002372135,0.006187919,0.007650901,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Finland,61.92411,25.748151,188,287,362,411,531,1779,0.000819345,0.001107102,0.001260545,0.001322869,0.001599398,0.008193453,0.011071021,0.012605453,0.013228691,0.015993979,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Finland,61.92411,25.748151,50,504,834,1118,1216,3722,0.000109798,0.001056062,0.001688567,0.002171551,0.002276165,0.001097976,0.01056062,0.016885672,0.021715506,0.022761647,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Finland,61.92411,25.748151,669,1315,1714,3090,4892,11680,0.000858152,0.001524439,0.001811137,0.002999087,0.004360422,0.008581519,0.015244388,0.018111367,0.029990867,0.04360422,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Finland,61.92411,25.748151,50,103,142,194,266,755,0.001233471,0.002370739,0.002750025,0.003433617,0.004500946,0.012334709,0.023707389,0.027500247,0.034336174,0.045009458,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Finland,61.92411,25.748151,1509,4256,6108,8884,11110,31867,0.002392709,0.006465986,0.008946765,0.012638276,0.015543752,0.023927085,0.064659861,0.089467647,0.126382761,0.155437521,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Finland,61.92411,25.748151,2424,3535,4251,5754,8677,24641,0.00306831,0.004251757,0.004863232,0.006241363,0.008977877,0.030683101,0.042517572,0.048632316,0.062413632,0.089778769,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Iceland,64.963051,-19.020835,2,3,4,1,1,11,1.65032E-05,2.26473E-05,2.78483E-05,6.48613E-06,6.09873E-06,0.000165032,0.000226473,0.000278483,6.48613E-05,6.09873E-05,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Iceland,64.963051,-19.020835,75,93,108,129,158,563,3.50349E-05,4.06459E-05,4.42594E-05,4.97893E-05,5.81186E-05,0.000350349,0.000406459,0.000442594,0.000497893,0.000581186,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Iceland,64.963051,-19.020835,0,0,0,1,0,1,0,0,0,1.47331E-05,0,0,0,0,0.000147331,0,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Iceland,64.963051,-19.020835,9,19,28,35,48,139,3.9224E-05,7.32925E-05,9.75007E-05,0.000112653,0.000144578,0.00039224,0.000732925,0.000975007,0.001126531,0.001445783,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Iceland,64.963051,-19.020835,0,0,1,1,4,6,0,0,2.02466E-06,1.94235E-06,7.48738E-06,0,0,2.02466E-05,1.94235E-05,7.48738E-05,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Iceland,64.963051,-19.020835,675,1056,1407,1565,2284,6987,0.000865848,0.001224188,0.001486738,0.001518955,0.002035814,0.008658484,0.012241881,0.014867382,0.015189549,0.020358143,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Iceland,64.963051,-19.020835,11,13,14,17,21,76,0.000271364,0.000299219,0.000271129,0.000300884,0.000355338,0.002713636,0.002992195,0.002711292,0.00300884,0.003553378,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Iceland,64.963051,-19.020835,560,822,1062,1196,1500,5140,0.00088795,0.001248835,0.001555577,0.001701416,0.002098616,0.008879502,0.012488347,0.01555577,0.017014158,0.020986164,,,,
Timor-Leste,-8.874217,125.727539,878360,969313,1088486,1205813,1299995,Iceland,64.963051,-19.020835,0,0,0,1,0,1,0,0,0,8.29316E-05,0,0,0,0,0.000829316,0,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Iceland,64.963051,-19.020835,220,355,480,613,916,2584,0.000278477,0.00042698,0.00054913,0.000664921,0.000947763,0.00278477,0.004269799,0.005491299,0.00664921,0.009477625,,,,
Brunei Darussalam,4.535277,114.727669,333926,366717,396053,421437,441725,Ireland,53.41291,-8.24389,19,19,16,16,16,86,0.005689883,0.005181107,0.004039863,0.003796534,0.003622163,0.056898834,0.05181107,0.040398634,0.037965342,0.036221631,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Ireland,53.41291,-8.24389,12,13,11,11,11,58,9.90194E-05,9.81385E-05,7.65828E-05,7.13474E-05,6.7086E-05,0.000990194,0.000981385,0.000765828,0.000713474,0.00067086,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Ireland,53.41291,-8.24389,148,149,125,128,145,695,6.91355E-05,6.51209E-05,5.12261E-05,4.94033E-05,5.33367E-05,0.000691355,0.000651209,0.000512261,0.000494033,0.000533367,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Ireland,53.41291,-8.24389,39,39,33,34,37,182,0.000718119,0.000666328,0.00052187,0.000500927,0.000505506,0.007181192,0.006663284,0.005218697,0.005009268,0.00505506,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Ireland,53.41291,-8.24389,2197,3430,4098,4186,4798,18709,0.009575008,0.01323122,0.01426993,0.013473309,0.01445181,0.095750082,0.132312197,0.142699296,0.134733094,0.144518103,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Ireland,53.41291,-8.24389,76,76,63,64,72,351,0.000166892,0.000159247,0.000127554,0.000124311,0.000134773,0.001668924,0.001592474,0.001275536,0.001243106,0.001347729,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Ireland,53.41291,-8.24389,6214,11553,14989,15312,17557,65625,0.007970936,0.013393036,0.015838464,0.014861494,0.015649209,0.079709359,0.133930357,0.158384644,0.148614939,0.156492086,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Ireland,53.41291,-8.24389,252,252,211,216,246,1177,0.006216693,0.005800254,0.004086304,0.003822997,0.004162529,0.062166932,0.058002544,0.040863043,0.038229967,0.041625288,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Ireland,53.41291,-8.24389,624,626,524,535,612,2921,0.00098943,0.000951059,0.000767535,0.000761085,0.000856235,0.009894302,0.00951059,0.007675351,0.007610848,0.008562355,,,,
Timor-Leste,-8.874217,125.727539,878360,969313,1088486,1205813,1299995,Ireland,53.41291,-8.24389,5,4,3,3,2,17,0.000569243,0.000412663,0.000275612,0.000248795,0.000153847,0.005692427,0.004126634,0.002756122,0.002487948,0.001538467,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Ireland,53.41291,-8.24389,740,742,622,635,727,3466,0.000936695,0.000892448,0.000711581,0.000688784,0.000752209,0.009366953,0.00892448,0.007115808,0.006887844,0.007522089,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Latvia,56.879635,24.603189,3,3,3,3,3,15,1.40139E-06,1.31116E-06,1.22943E-06,1.15789E-06,1.10352E-06,1.40139E-05,1.31116E-05,1.22943E-05,1.15789E-05,1.10352E-05,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Latvia,56.879635,24.603189,14,9,4,7,8,42,6.10151E-05,3.47175E-05,1.39287E-05,2.25306E-05,2.40964E-05,0.000610151,0.000347175,0.000139287,0.000225306,0.000240964,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Latvia,56.879635,24.603189,2,3,5,108,99,217,2.56548E-06,3.47781E-06,5.28336E-06,0.000104822,8.82424E-05,2.56548E-05,3.47781E-05,5.28336E-05,0.001048224,0.000882424,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Latvia,56.879635,24.603189,3,4,5,4,1,17,7.40083E-05,9.20675E-05,9.68319E-05,7.07962E-05,1.69208E-05,0.000740083,0.000920675,0.000968319,0.000707962,0.000169208,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Latvia,56.879635,24.603189,2,7,13,8,29,59,3.17125E-06,1.06348E-05,1.90419E-05,1.13807E-05,4.05733E-05,3.17125E-05,0.000106348,0.000190419,0.000113807,0.000405733,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Latvia,56.879635,24.603189,7,8,10,7,83,115,8.86063E-06,9.62208E-06,1.14402E-05,7.5929E-06,8.5878E-05,8.86063E-05,9.62208E-05,0.000114402,7.5929E-05,0.00085878,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Lithuania,55.169438,23.881275,0,0,0,5,4,9,0,0,0,3.24306E-05,2.43949E-05,0,0,0,0.000324306,0.000243949,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Lithuania,55.169438,23.881275,0,0,0,2,10,12,0,0,0,7.71927E-07,3.67839E-06,0,0,0,7.71927E-06,3.67839E-05,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Lithuania,55.169438,23.881275,0,0,0,0,3,3,0,0,0,0,4.0987E-05,0,0,0,0,0.00040987,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Lithuania,55.169438,23.881275,0,0,0,1,11,12,0,0,0,3.21866E-06,3.31325E-05,0,0,0,3.21866E-05,0.000331325,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Lithuania,55.169438,23.881275,0,0,0,0,58,58,0,0,0,0,5.16976E-05,0,0,0,0,0.000516976,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Lithuania,55.169438,23.881275,0,0,0,10,5,15,0,0,0,0.000176991,8.46042E-05,0,0,0,0.001769906,0.000846042,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Lithuania,55.169438,23.881275,0,0,0,2,20,22,0,0,0,2.84518E-06,2.79816E-05,0,0,0,2.84518E-05,0.000279816,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Lithuania,55.169438,23.881275,57,52,40,35,40,224,7.21509E-05,6.25435E-05,4.57608E-05,3.79645E-05,4.1387E-05,0.000721509,0.000625435,0.000457608,0.000379645,0.00041387,,,,
Brunei Darussalam,4.535277,114.727669,333926,366717,396053,421437,441725,Norway,60.472024,8.468946,21,22,29,34,34,140,0.006288818,0.005999176,0.007322252,0.008067635,0.007697097,0.062888185,0.059991765,0.073222523,0.080676353,0.076970966,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Norway,60.472024,8.468946,173,222,328,405,472,1600,0.001427529,0.001675904,0.002283561,0.002626881,0.0028786,0.014275292,0.016759039,0.022835609,0.026268811,0.028785999,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Norway,60.472024,8.468946,573,854,1244,1526,1711,5908,0.000267666,0.000373243,0.000509802,0.00058898,0.000629373,0.002676664,0.003732434,0.005098023,0.0058898,0.006293728,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Norway,60.472024,8.468946,50,53,84,99,130,416,0.000920666,0.000905523,0.001328395,0.001458581,0.001776102,0.009206657,0.009055232,0.013283955,0.014585809,0.017761021,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Norway,60.472024,8.468946,304,366,590,836,934,3030,0.001324899,0.001411844,0.00205448,0.002690799,0.002813254,0.013248987,0.014118444,0.020544799,0.026907995,0.028132536,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Norway,60.472024,8.468946,56,510,2428,3109,3258,9361,0.000122973,0.001068634,0.004915877,0.006038775,0.006098474,0.001229733,0.010686342,0.049158766,0.060387753,0.060984743,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Norway,60.472024,8.468946,5698,7939,13124,20512,24388,71661,0.007309043,0.009203437,0.01386777,0.019908501,0.021737934,0.073090429,0.092034372,0.138677701,0.199085007,0.217379335,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Norway,60.472024,8.468946,365,454,587,764,866,3036,0.009004337,0.010449665,0.01136806,0.013522081,0.014653455,0.090043374,0.104496647,0.113680598,0.135220808,0.146534551,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Norway,60.472024,8.468946,3584,7206,13026,18017,22304,64137,0.005682881,0.010947814,0.019079986,0.025630777,0.031205027,0.05682881,0.109478139,0.190799864,0.256307768,0.312050267,,,,
Timor-Leste,-8.874217,125.727539,878360,969313,1088486,1205813,1299995,Norway,60.472024,8.468946,0,0,14,15,8,37,0,0,0.00128619,0.001243974,0.000615387,0,0,0.012861902,0.01243974,0.00615387,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Norway,60.472024,8.468946,11177,11993,12919,13682,14596,64367,0.014147897,0.014424703,0.014779602,0.014840864,0.01510212,0.141478967,0.144247027,0.147796024,0.14840864,0.151021196,,,,
Brunei Darussalam,4.535277,114.727669,333926,366717,396053,421437,441725,Sweden,60.128161,18.643501,0,3,6,8,9,26,0,0.00081807,0.001514949,0.001898267,0.002037467,0,0.008180695,0.015149488,0.018982671,0.020374667,,,,
Cambodia,12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,Sweden,60.128161,18.643501,324,379,468,557,717,2445,0.002673523,0.002861115,0.003258252,0.003612772,0.004372788,0.02673523,0.028611152,0.032582515,0.036127723,0.043727884,,,,
Indonesia,-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,Sweden,60.128161,18.643501,1624,1906,2127,2269,2897,10823,0.000758622,0.000833023,0.000871664,0.000875751,0.00106563,0.007586218,0.008330232,0.008716635,0.008757508,0.0106563,,,,
Lao People's Democratic Republic,19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,Sweden,60.128161,18.643501,362,412,465,479,509,2227,0.00666562,0.007039161,0.007353618,0.007057174,0.006954123,0.066656196,0.070391613,0.073536179,0.070571745,0.069541229,,,,
Malaysia,4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,Sweden,60.128161,18.643501,961,1140,1365,1461,1711,6638,0.004188249,0.004397548,0.004753161,0.004702462,0.005153616,0.041882489,0.043975482,0.04753161,0.047024618,0.051536155,,,,
Myanmar,21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,Sweden,60.128161,18.643501,125,438,1342,1442,1556,4903,0.000274494,0.000917768,0.002717095,0.002800873,0.002912592,0.00274494,0.009177682,0.027170949,0.028008729,0.029125924,,,,
Philippines,12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,Sweden,60.128161,18.643501,5460,7137,9226,11458,14878,48159,0.007003751,0.008273703,0.009748861,0.011120885,0.013261316,0.070037512,0.082737034,0.097488606,0.111208854,0.13261316,,,,
Singapore,1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,Sweden,60.128161,18.643501,509,487,738,705,921,3360,0.012556733,0.011209222,0.014292382,0.012477836,0.015584102,0.125567335,0.112092219,0.142923819,0.124778364,0.155841018,,,,
Thailand,15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,Sweden,60.128161,18.643501,10353,18080,28604,36472,43476,136985,0.016415979,0.027468287,0.041898045,0.051884647,0.060826297,0.164159785,0.274682869,0.418980447,0.518846474,0.608262975,,,,
Timor-Leste,-8.874217,125.727539,878360,969313,1088486,1205813,1299995,Sweden,60.128161,18.643501,0,1,4,4,5,14,0,0.000103166,0.000367483,0.000331726,0.000384617,0,0.001031659,0.003674829,0.003317264,0.003846169,,,,
Viet Nam,14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,Sweden,60.128161,18.643501,10898,12180,13942,15907,20245,73172,0.013794737,0.014649619,0.015949935,0.017254321,0.020947,0.137947373,0.146496188,0.159499355,0.172543213,0.20947,,,,
Brunei Darussalam,4.535277,114.727669,333926,366717,396053,421437,441725,United Kingdom,55.378051,-3.435973,2692,3736,3944,4720,5326,20418,0.806166636,1.018769242,0.995826316,1.1199776,1.205727545,8.061666357,10.18769242,9.958263162,11.199776,12.05727545,,,,
