"Region, subregion, country or area","Location code of origin","Origin Latitude","Origin Longitude","Total Population (2000)","Total Population (2005)","Total Population (2010)","Total Population (2015)","Total Population (2020)","Destination","Location code of destination","Destination Latitude","Destination Longitude","Total Migrants (2000)","Total Migrants (2005)","Total Migrants (2010)","Total Migrants (2015)","Total Migrants (2020)","Total Migrants (2000-2020)","Proportion of Emigration per Population (%) (2000)","Proportion of Emigration per Population (%) (2005)","Proportion of Emigration per Population (%) (2010)","Proportion of Emigration per Population (%) (2015)","Proportion of Emigration per Population (%) (2020)","Number of Emigration per Population ( '000s) (2000)","Number of Emigration per Population ( '000s) (2005)","Number of Emigration per Population ( '000s) (2010)","Number of Emigration per Population ( '000s) (2015)","Number of Emigration per Population ( '000s) (2020)"
"Singapore","702",1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,"China, Hong Kong SAR","344",22.396428,114.109497,8156,8905,9675,9887,10309,46932,0.20120376889492358,0.20496534002725658,0.18736964011472637,0.17499059295032335,0.1744370306685309,2.0120376889492357,2.049653400272566,1.8736964011472639,1.7499059295032335,1.7443703066853091
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"China, Hong Kong SAR","344",22.396428,114.109497,15845,17299,18795,19208,20028,91175,0.025124232551418695,0.026281741975553226,0.02753019683219202,0.027325079693051497,0.028020726047399854,0.25124232551418696,0.26281741975553224,0.27530196832192017,0.27325079693051496,0.2802072604739985
"Viet Nam","704",14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,"China, Hong Kong SAR","344",22.396428,114.109497,9023,9852,10704,10939,11406,51924,0.011421353883719808,0.011849593157353084,0.012245596698960538,0.011865532183382228,0.011801505628348695,0.11421353883719806,0.11849593157353083,0.12245596698960538,0.11865532183382228,0.11801505628348695
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"China, Macao SAR","446",22.198745,113.543873,5239,6077,14193,28124,30173,83806,0.006720266058398997,0.007044878204292194,0.01499735303534464,0.0272965421743175,0.02689431967421052,0.06720266058398996,0.07044878204292193,0.1499735303534464,0.272965421743175,0.2689431967421052
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"China, Macao SAR","446",22.198745,113.543873,974,1129,1287,1519,1628,6537,0.0015443990220941502,0.0017152486669980687,0.0018851483545108342,0.002160911914501521,0.0022776983226066986,0.0154439902209415,0.017152486669980687,0.01885148354510834,0.021609119145015215,0.022776983226066985
"Cambodia","116",12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,"Japan","392",36.204824,138.252924,1761,2531,2683,3383,4199,14557,0.01453109253599416,0.01910681418747763,0.0186792496441683,0.02194256496325642,0.025608561639240683,0.14531092535994158,0.1910681418747763,0.18679249644168303,0.2194256496325642,0.25608561639240685
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Japan","392",36.204824,138.252924,19347,23481,24895,35910,57169,160802,0.00903759573962122,0.010262444099595942,0.010202192622699642,0.013859943247179757,0.021028995397854255,0.0903759573962122,0.10262444099595942,0.10202192622699643,0.13859943247179757,0.21028995397854255
"Malaysia","458",4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,"Japan","392",36.204824,138.252924,8387,7889,8364,8738,10519,43897,0.03655238688786083,0.030431805290759718,0.029124863660015477,0.028124648260847134,0.031683741620066,0.3655238688786083,0.30431805290759717,0.2912486366001548,0.28124648260847135,0.31683741620066
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Japan","392",36.204824,138.252924,144882,198241,210181,229595,275252,1058151,0.1858456932759999,0.2298146618557,0.22209248631873257,0.22283990899276154,0.24534236830828204,1.858456932759999,2.298146618557,2.2209248631873257,2.2283990899276156,2.4534236830828204
"Singapore","702",1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,"Japan","392",36.204824,138.252924,1940,2369,2512,2444,3033,12298,0.04785866989408432,0.05452699500556663,0.04864832413107935,0.04325649935982505,0.05132093452494463,0.47858669894084327,0.5452699500556664,0.48648324131079346,0.43256499359825046,0.5132093452494463
