"Region, subregion, country or area","Location code of origin","Origin Latitude","Origin Longitude","Total Population (2000)","Total Population (2005)","Total Population (2010)","Total Population (2015)","Total Population (2020)","Destination","Location code of destination","Destination Latitude","Destination Longitude","Total Migrants (2000)","Total Migrants (2005)","Total Migrants (2010)","Total Migrants (2015)","Total Migrants (2020)","Total Migrants (2000-2020)","Proportion of Emigration per Population (%) (2000)","Proportion of Emigration per Population (%) (2005)","Proportion of Emigration per Population (%) (2010)","Proportion of Emigration per Population (%) (2015)","Proportion of Emigration per Population (%) (2020)","Number of Emigration per Population ( '000s) (2000)","Number of Emigration per Population ( '000s) (2005)","Number of Emigration per Population ( '000s) (2010)","Number of Emigration per Population ( '000s) (2015)","Number of Emigration per Population ( '000s) (2020)"
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"United Arab Emirates","784",23.424076,53.847818,94285,121621,267618,292432,318809,1094765,0.04404350619270102,0.05315483641399251,0.1096722388150887,0.11286802906319328,0.11727042617143062,0.4404350619270102,0.5315483641399251,1.096722388150887,1.1286802906319326,1.1727042617143064
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"United Arab Emirates","784",23.424076,53.847818,128860,202658,474083,518041,564769,1888411,0.16529365991320763,0.23493515338579027,0.5009504769291406,0.5027993174699762,0.5033996628801976,1.6529365991320761,2.3493515338579027,5.009504769291406,5.027993174699763,5.033996628801976
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"United Arab Emirates","784",23.424076,53.847818,3647,4842,10763,11760,12819,43831,0.005782775393816598,0.007356274619667537,0.01576523056689985,0.016729640628398875,0.017934775674137145,0.05782775393816597,0.07356274619667537,0.1576523056689985,0.16729640628398876,0.17934775674137143
"Brunei Darussalam","096",4.535277,114.727669,333926,366717,396053,421437,441725,"Czechia","203",49.817492,15.472962,0,0,0,1,0,1,0,0,0,0.0002372833899254218,0,0,0,0,0.0023728338992542184,0
"Cambodia","116",12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,"Czechia","203",49.817492,15.472962,8,15,20,40,60,143,0.00006601291328106376,0.0001132367494319101,0.00013924151803330824,0.0002594450483388285,0.0003659237195414244,0.0006601291328106376,0.001132367494319101,0.0013924151803330826,0.002594450483388285,0.003659237195414244
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Czechia","203",49.817492,15.472962,43,84,118,179,333,757,0.000020086660298946214,0.00003671246132473315,0.00004835745047112102,0.00006908743640337445,0.00012249043130867194,0.00020086660298946214,0.00036712461324733153,0.00048357450471121023,0.0006908743640337445,0.0012249043130867197
"Lao People's Democratic Republic","418",19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,"Czechia","203",49.817492,15.472962,4,16,27,25,35,107,0.00007365325483860455,0.00027336548794885333,0.00042698426705303994,0.00036832852075288115,0.00047818133701961046,0.0007365325483860455,0.002733654879488533,0.0042698426705304,0.003683285207528812,0.004781813370196105
"Malaysia","458",4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,"Czechia","203",49.817492,15.472962,7,179,333,356,219,1094,0.000030507536451058283,0.0006904922229745202,0.001159562362360731,0.001145842845143234,0.0006596386932973148,0.0003050753645105828,0.006904922229745201,0.011595623623607311,0.01145842845143234,0.0065963869329731485
"Myanmar","104",21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,"Czechia","203",49.817492,15.472962,1,30,56,130,146,363,0.000002195952192539683,0.00006286083296764044,0.00011338100788751177,0.0002525058829500433,0.0002732895174115185,0.000021959521925396827,0.0006286083296764045,0.0011338100788751179,0.0025250588295004333,0.0027328951741151853
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Czechia","203",49.817492,15.472962,17,177,320,509,1590,2613,0.000021806551439737153,0.00020519062730948138,0.0003381352054752543,0.0004940243196816814,0.0014172262712356986,0.00021806551439737152,0.0020519062730948137,0.0033813520547525434,0.004940243196816814,0.014172262712356984
"Singapore","702",1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,"Czechia","203",49.817492,15.472962,7,20,31,53,115,226,0.0001726859222982424,0.00046033765306514673,0.000600357503209976,0.0009380501088669098,0.0019458976163431035,0.001726859222982424,0.004603376530651468,0.00600357503209976,0.009380501088669098,0.019458976163431035
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"Czechia","203",49.817492,15.472962,16,279,515,864,1418,3092,0.000025370004469719102,0.000423874559869319,0.0007543522941515769,0.001229116454331346,0.0019838920279215593,0.000253700044697191,0.00423874559869319,0.007543522941515769,0.01229116454331346,0.019838920279215595
"Timor-Leste","626",-8.874217,125.727539,878360,969313,1088486,1205813,1299995,"Czechia","203",49.817492,15.472962,1,1,0,0,0,2,0.00011384853590782823,0.0001031658504528465,0,0,0,0.0011384853590782821,0.001031658504528465,0,0,0
"Viet Nam","704",14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,"Czechia","203",49.817492,15.472962,7208,31521,52748,45525,50350,187352,0.009123918740313906,0.037912203198632415,0.06034479957742624,0.04938096285295511,0.05209589763171636,0.09123918740313905,0.3791220319863241,0.6034479957742623,0.49380962852955107,0.5209589763171636
"Brunei Darussalam","096",4.535277,114.727669,333926,366717,396053,421437,441725,"Hungary","348",47.162494,19.503304,0,0,0,2,1,3,0,0,0,0.0004745667798508436,0.0002263851944082857,0,0,0,0.004745667798508437,0.002263851944082857
"Cambodia","116",12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,"Hungary","348",47.162494,19.503304,51,63,74,53,88,329,0.0004208323221667815,0.0004755943476140224,0.0005151936167232405,0.00034376468904894777,0.0005366881219940891,0.004208323221667814,0.004755943476140224,0.005151936167232405,0.0034376468904894777,0.005366881219940891
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Hungary","348",47.162494,19.503304,147,181,217,211,567,1323,0.0000686683503243045,0.00007910661309257977,0.00008892853179858696,0.00008143826302297211,0.0002085647884444955,0.000686683503243045,0.0007910661309257978,0.0008892853179858697,0.0008143826302297212,0.002085647884444955
"Lao People's Democratic Republic","418",19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,"Hungary","348",47.162494,19.503304,30,38,45,46,104,263,0.0005523994112895341,0.0006492430338785266,0.0007116404450884,0.0006777244781853014,0.0014208816871439855,0.005523994112895341,0.006492430338785266,0.007116404450884,0.006777244781853014,0.014208816871439853
"Malaysia","458",4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,"Hungary","348",47.162494,19.503304,79,98,117,93,156,543,0.00034429933994765776,0.00037803484833241887,0.00040741380299160823,0.00029933534999528305,0.0004698796171432927,0.0034429933994765778,0.0037803484833241886,0.004074138029916082,0.0029933534999528307,0.004698796171432928
"Myanmar","104",21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,"Hungary","348",47.162494,19.503304,6,7,8,13,31,65,0.000013175713155238097,0.000014667527692449435,0.000016197286841073115,0.000025250588295004336,0.000058027226299705976,0.00013175713155238097,0.00014667527692449435,0.00016197286841073113,0.0002525058829500433,0.0005802722629970598
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Hungary","348",47.162494,19.503304,170,209,250,282,533,1444,0.00021806551439737155,0.00024228723789650625,0.00026416812927754246,0.0002737030611988883,0.0004750827689110863,0.0021806551439737154,0.0024228723789650624,0.0026416812927754245,0.002737030611988883,0.004750827689110863
"Singapore","702",1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,"Hungary","348",47.162494,19.503304,56,70,83,77,102,388,0.0013814873783859392,0.0016111817857280136,0.0016074087989170324,0.0013628275166556992,0.0017259265814521438,0.013814873783859392,0.016111817857280136,0.016074087989170326,0.013628275166556991,0.01725926581452144
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"Hungary","348",47.162494,19.503304,487,599,715,762,1408,3971,0.0007721995110470751,0.0009100389296119071,0.0010473046413949077,0.0010840124284727842,0.001969901251984172,0.00772199511047075,0.00910038929611907,0.010473046413949078,0.010840124284727843,0.019699012519841717
"Viet Nam","704",14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,"Hungary","348",47.162494,19.503304,2345,2880,3440,3091,5272,17028,0.0029683115213701592,0.003463949278641583,0.00393543092716968,0.0033528073844807083,0.005454807791745951,0.02968311521370159,0.034639492786415836,0.039354309271696794,0.033528073844807084,0.05454807791745951
"Cambodia","116",12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,"Poland","616",51.919438,19.145136,23,24,27,25,33,132,0.00018978712568305833,0.00018117879909105618,0.00018797604934496615,0.0001621531552117678,0.00020125804574778344,0.001897871256830583,0.0018117879909105615,0.0018797604934496614,0.001621531552117678,0.002012580457477834
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Poland","616",51.919438,19.145136,46,80,117,110,146,499,0.00002148805520352386,0.00003496424888069824,0.00004794764156882339,0.000042455966504866977,0.00005370451342662494,0.00021488055203523857,0.0003496424888069824,0.0004794764156882339,0.0004245596650486698,0.0005370451342662495
"Malaysia","458",4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,"Poland","616",51.919438,19.145136,8,24,42,39,52,165,0.000034865755944066613,0.0000925799628569189,0.00014625110876621833,0.00012552772741737675,0.00015662653904776426,0.0003486575594406661,0.000925799628569189,0.0014625110876621834,0.0012552772741737676,0.0015662653904776425
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Poland","616",51.919438,19.145136,49,123,202,191,254,819,0.00006285417767924238,0.00014259009694387686,0.0002134478484562543,0.00018538044215953074,0.00022639966848670903,0.0006285417767924238,0.0014259009694387688,0.002134478484562543,0.0018538044215953074,0.0022639966848670904
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"Poland","616",51.919438,19.145136,38,68,102,96,127,431,0.00006025376061558287,0.00010330992857029998,0.00014940569709409872,0.0001365684949257051,0.0001776828544048223,0.0006025376061558287,0.0010330992857029997,0.0014940569709409874,0.001365684949257051,0.0017768285440482232
"Viet Nam","704",14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,"Poland","616",51.919438,19.145136,1713,2268,2896,2757,3681,13315,0.00216832308575995,0.002727860056930247,0.003313083710780056,0.002990517618574349,0.003808639507097277,0.0216832308575995,0.02727860056930247,0.033130837107800556,0.02990517618574349,0.03808639507097277
"Cambodia","116",12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,"Romania","642",45.943161,24.96676,0,0,0,3,14,17,0,0,0,0.000019458378625412136,0.00008538220122633235,0,0,0,0.00019458378625412137,0.0008538220122633236
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Romania","642",45.943161,24.96676,0,0,0,13,177,190,0,0,0,0.000005017523314211552,0.00006510752655145626,0,0,0,0.00005017523314211552,0.0006510752655145627
"Lao People's Democratic Republic","418",19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,"Romania","642",45.943161,24.96676,0,0,0,0,2,2,0,0,0,0,0.00002732464782969203,0,0,0,0,0.0002732464782969203
"Malaysia","458",4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,"Romania","642",45.943161,24.96676,0,0,0,1,67,68,0,0,0,0.000003218659677368635,0.00020180727146538855,0,0,0,0.00003218659677368635,0.0020180727146538856
"Myanmar","104",21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,"Romania","642",45.943161,24.96676,0,0,0,0,11,11,0,0,0,0,0.000020590306106347285,0,0,0,0,0.00020590306106347284
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Romania","642",45.943161,24.96676,14,11,47,40,751,863,0.000017958336479783536,0.000012751959889289802,0.00004966360830417797,0.00003882312924806926,0.0006693942954075532,0.0001795833647978354,0.00012751959889289804,0.0004966360830417798,0.0003882312924806926,0.006693942954075532
"Singapore","702",1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,"Romania","642",45.943161,24.96676,0,0,0,9,71,80,0,0,0,0.000159291527920796,0.0012013802674813944,0,0,0,0.00159291527920796,0.012013802674813943
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"Romania","642",45.943161,24.96676,0,0,0,12,178,190,0,0,0,0.000017071061865713137,0.000249035811685499,0,0,0,0.00017071061865713138,0.00249035811685499
"Timor-Leste","626",-8.874217,125.727539,878360,969313,1088486,1205813,1299995,"Romania","642",45.943161,24.96676,0,0,0,1,1,2,0,0,0,0.00008293159884658732,0.00007692337278220301,0,0,0,0.0008293159884658731,0.0007692337278220301
"Viet Nam","704",14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,"Romania","642",45.943161,24.96676,8,9,21,80,2383,2501,0.000010126435893800117,0.000010824841495754947,0.00002402443298562886,0.00008677599183385851,0.0024656310636818287,0.00010126435893800116,0.00010824841495754948,0.00024024432985628858,0.0008677599183385851,0.024656310636818286
"Cambodia","116",12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,"Slovakia","703",48.669026,19.699024,0,0,0,8,10,18,0,0,0,0.0000518890096677657,0.0000609872865902374,0,0,0,0.000518890096677657,0.000609872865902374
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Slovakia","703",48.669026,19.699024,17,20,22,35,50,144,0.000007941237792606643,0.00000874106222017456,0.000009015795850547987,0.000013508716615184946,0.000018391956652953744,0.00007941237792606644,0.0000874106222017456,0.00009015795850547987,0.00013508716615184948,0.00018391956652953747
"Lao People's Democratic Republic","418",19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,"Slovakia","703",48.669026,19.699024,0,0,0,6,5,11,0,0,0,0.00008839884498069149,0.00006831161957423007,0,0,0,0.0008839884498069149,0.0006831161957423006
"Malaysia","458",4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,"Slovakia","703",48.669026,19.699024,0,0,0,18,23,41,0,0,0,0.00005793587419263543,0.00006927712304035726,0,0,0,0.0005793587419263543,0.0006927712304035726
"Myanmar","104",21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,"Slovakia","703",48.669026,19.699024,0,0,0,4,3,7,0,0,0,0.000007769411783078255,0.0000056155380290038045,0,0,0,0.00007769411783078256,0.000056155380290038053
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Slovakia","703",48.669026,19.699024,19,22,24,34,63,162,0.00002437202807970623,0.000025503919778579604,0.000025360140410644077,0.00003299965986085887,0.0000561542484829239,0.0002437202807970623,0.0002550391977857961,0.00025360140410644075,0.00032999659860858874,0.000561542484829239
"Singapore","702",1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,"Slovakia","703",48.669026,19.699024,0,0,0,17,20,37,0,0,0,0.0003008839971837258,0.0003384169767553223,0,0,0,0.003008839971837258,0.0033841697675532235
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"Slovakia","703",48.669026,19.699024,40,45,50,71,107,313,0.00006342501117429774,0.00006836686449505145,0.00007323808681083271,0.00010100378270546939,0.00014970130253004715,0.0006342501117429774,0.0006836686449505146,0.0007323808681083271,0.0010100378270546941,0.0014970130253004715
"Viet Nam","704",14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,"Slovakia","703",48.669026,19.699024,1381,1546,1737,2145,2373,9182,0.001748075996167245,0.0018594672169374613,0.0019871638140970156,0.0023266812810453313,0.002455284311421309,0.017480759961672452,0.01859467216937461,0.019871638140970156,0.023266812810453313,0.02455284311421309
"Brunei Darussalam","096",4.535277,114.727669,333926,366717,396053,421437,441725,"Denmark","208",56.26392,9.501785,4,4,4,7,8,27,0.0011978701868078556,0.0010907593593970282,0.001009965837905533,0.0016609837294779526,0.0018110815552662856,0.011978701868078557,0.010907593593970283,0.010099658379055328,0.016609837294779526,0.018110815552662855
"Cambodia","116",12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,"Denmark","208",56.26392,9.501785,129,162,186,234,288,999,0.0010644582266571532,0.001222956893864629,0.0012949461177097666,0.0015177535327821467,0.001756433853798837,0.01064458226657153,0.01222956893864629,0.012949461177097667,0.015177535327821467,0.01756433853798837
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Denmark","208",56.26392,9.501785,633,866,1050,1135,1294,4978,0.00029569432486588267,0.00037848799413355846,0.0004302993474125176,0.00043806838166385477,0.00047598383817844297,0.0029569432486588267,0.0037848799413355847,0.004302993474125176,0.004380683816638547,0.00475983838178443
"Lao People's Democratic Republic","418",19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,"Denmark","208",56.26392,9.501785,24,38,49,66,71,248,0.00044191952903162724,0.0006492430338785266,0.0007748973735407021,0.0009723872947876063,0.000970024997954067,0.004419195290316273,0.006492430338785266,0.007748973735407023,0.009723872947876064,0.00970024997954067
"Malaysia","458",4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,"Denmark","208",56.26392,9.501785,404,553,670,821,902,3350,0.0017607206751753639,0.0021331966441615062,0.0023330534017468162,0.0026425195951196496,0.0027168680427131415,0.01760720675175364,0.021331966441615065,0.023330534017468162,0.026425195951196495,0.027168680427131414
"Myanmar","104",21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,"Denmark","208",56.26392,9.501785,64,657,1193,1722,1764,5400,0.0001405409403225397,0.0013766522419913255,0.002415420400175028,0.0033447317726151894,0.0033019363610542374,0.001405409403225397,0.013766522419913257,0.02415420400175028,0.03344731772615189,0.03301936361054238
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Denmark","208",56.26392,9.501785,3929,6631,8921,10772,12121,42374,0.005039878859219251,0.007687113275080062,0.009426575525139824,0.010455068706505054,0.010803899140659056,0.05039878859219252,0.07687113275080062,0.09426575525139824,0.10455068706505052,0.10803899140659057
"Singapore","702",1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,"Denmark","208",56.26392,9.501785,379,528,647,723,921,3198,0.009349709221576267,0.012152914040919874,0.012530042083124337,0.012796419409637279,0.015584101779582594,0.09349709221576268,0.12152914040919875,0.12530042083124338,0.1279641940963728,0.15584101779582593
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"Denmark","208",56.26392,9.501785,5596,8144,10227,12322,14225,50514,0.008873159063284255,0.012372883209948869,0.014980118276287722,0.01752913535910977,0.01990187877093384,0.08873159063284254,0.12372883209948868,0.14980118276287724,0.17529135359109774,0.19901878770933837
"Viet Nam","704",14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,"Denmark","208",56.26392,9.501785,8651,9215,9448,9781,10384,47479,0.010950474614658102,0.011083434931486872,0.01080870680229626,0.010609449701587127,0.010744067547323587,0.10950474614658101,0.11083434931486871,0.1080870680229626,0.10609449701587126,0.10744067547323588
"Cambodia","116",12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,"Estonia","233",58.595272,25.013607,0,0,4,9,6,19,0,0,0.00002784830360666165,0.00005837513587623641,0.00003659237195414244,0,0,0.0002784830360666165,0.0005837513587623641,0.00036592371954142437
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Estonia","233",58.595272,25.013607,0,0,6,12,40,58,0,0,0.000002458853413785815,0.0000046315599823491255,0.000014713565322362998,0,0,0.00002458853413785815,0.00004631559982349125,0.00014713565322362998
"Malaysia","458",4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,"Estonia","233",58.595272,25.013607,0,0,2,8,17,27,0,0,0.000006964338512677063,0.00002574927741894908,0.00005120483007330755,0,0,0.00006964338512677064,0.0002574927741894908,0.0005120483007330755
"Myanmar","104",21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,"Estonia","233",58.595272,25.013607,0,0,0,2,1,3,0,0,0,0.000003884705891539128,0.0000018718460096679348,0,0,0,0.00003884705891539128,0.00001871846009667935
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Estonia","233",58.595272,25.013607,0,0,17,56,106,179,0,0,0.000017963432790872883,0.000054352380947296966,0.00009448175141571323,0,0,0.00017963432790872886,0.0005435238094729696,0.0009448175141571323
"Singapore","702",1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,"Estonia","233",58.595272,25.013607,0,0,3,9,18,30,0,0,0.000058099113213868646,0.000159291527920796,0.0003045752790797901,0,0,0.0005809911321386865,0.00159291527920796,0.003045752790797901
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"Estonia","233",58.595272,25.013607,0,0,15,44,109,168,0,0,0.000021971426043249813,0.00006259389350761484,0.00015249945771752467,0,0,0.00021971426043249814,0.0006259389350761484,0.0015249945771752466
"Viet Nam","704",14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,"Estonia","233",58.595272,25.013607,0,0,11,32,53,96,0,0,0.000012584226801996068,0.00003471039673354341,0.00005483778698075405,0,0,0.0001258422680199607,0.00034710396733543406,0.0005483778698075406
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Faroe Islands","234",61.892635,-6.911806,0,3,6,10,11,30,0,0.000001311159333026184,0.000002458853413785815,0.00000385963331862427,0.000004046230463649825,0,0.00001311159333026184,0.00002458853413785815,0.00003859633318624271,0.000040462304636498244
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Faroe Islands","234",61.892635,-6.911806,20,33,61,130,213,457,0.00002565476639969077,0.00003825587966786941,0.00006445702354372035,0.00012617517005622511,0.00018985484010893317,0.0002565476639969077,0.00038255879667869406,0.0006445702354372036,0.001261751700562251,0.0018985484010893318
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"Faroe Islands","234",61.892635,-6.911806,17,47,72,112,138,386,0.000026955629749076544,0.00007140539180594263,0.0001054628450075991,0.00015932991074665595,0.00019307270793594868,0.0002695562974907654,0.0007140539180594263,0.0010546284500759912,0.0015932991074665596,0.0019307270793594866
"Brunei Darussalam","096",4.535277,114.727669,333926,366717,396053,421437,441725,"Finland","246",61.92411,25.748151,0,0,0,2,4,6,0,0,0,0.0004745667798508436,0.0009055407776331428,0,0,0,0.004745667798508437,0.009055407776331428
"Cambodia","116",12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,"Finland","246",61.92411,25.748151,83,157,214,256,320,1030,0.0006848839752910366,0.001185211310720659,0.0014898842429563982,0.0016604483093685023,0.0019515931708875968,0.006848839752910365,0.01185211310720659,0.014898842429563982,0.016604483093685025,0.01951593170887597
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Finland","246",61.92411,25.748151,112,229,311,466,709,1827,0.00005231874310423201,0.00010008516242099872,0.00012745056861456476,0.00017985891264789102,0.0002607979453388841,0.00052318743104232,0.0010008516242099872,0.0012745056861456475,0.0017985891264789102,0.0026079794533888415
"Lao People's Democratic Republic","418",19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,"Finland","246",61.92411,25.748151,5,13,15,42,56,131,0.00009206656854825567,0.0002221094589584433,0.0002372134816961333,0.0006187919148648404,0.0007650901392313768,0.0009206656854825568,0.002221094589584433,0.0023721348169613334,0.0061879191486484035,0.007650901392313767
"Malaysia","458",4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,"Finland","246",61.92411,25.748151,188,287,362,411,531,1779,0.0008193452646855654,0.0011071020558306552,0.0012605452707945485,0.001322869127398509,0.0015993979275839005,0.008193452646855653,0.011071020558306551,0.012605452707945485,0.01322869127398509,0.015993979275839003
"Myanmar","104",21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,"Finland","246",61.92411,25.748151,50,504,834,1118,1216,3722,0.00010979760962698414,0.0010560619938563595,0.0016885671531818721,0.0021715505933703728,0.0022761647477562087,0.0010979760962698413,0.010560619938563593,0.01688567153181872,0.021715505933703725,0.02276164747756209
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Finland","246",61.92411,25.748151,669,1315,1714,3090,4892,11680,0.0008581519360696563,0.0015244388413105537,0.001811136694326831,0.002999086734413351,0.004360421961562916,0.008581519360696562,0.015244388413105537,0.01811136694326831,0.029990867344133507,0.04360421961562916
"Singapore","702",1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,"Finland","246",61.92411,25.748151,50,103,142,194,266,755,0.0012334708735588743,0.0023707389132855057,0.002750024692123116,0.0034336173796260467,0.004500945790845787,0.012334708735588744,0.02370738913285506,0.02750024692123116,0.03433617379626047,0.045009457908457874
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"Finland","246",61.92411,25.748151,1509,4256,6108,8884,11110,31867,0.0023927085465503825,0.0064659861175764225,0.008946764684811325,0.012638276134582958,0.015543752066437606,0.023927085465503824,0.06465986117576422,0.08946764684811324,0.1263827613458296,0.15543752066437605
"Viet Nam","704",14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,"Finland","246",61.92411,25.748151,2424,3535,4251,5754,8677,24641,0.003068310075821436,0.004251757187499304,0.004863231648662299,0.006241363212650274,0.008977876936452887,0.030683100758214354,0.04251757187499305,0.04863231648662299,0.062413632126502736,0.08977876936452886
"Cambodia","116",12.565679,104.990963,12118841,13246583,14363532,15417523,16396860,"Iceland","352",64.963051,-19.020835,2,3,4,1,1,11,0.00001650322832026594,0.000022647349886382022,0.00002784830360666165,0.000006486126208470712,0.000006098728659023739,0.0001650322832026594,0.0002264734988638202,0.0002784830360666165,0.00006486126208470713,0.0000609872865902374
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Iceland","352",64.963051,-19.020835,75,93,108,129,158,563,0.00003503487261444108,0.00004064593932381171,0.000044259361448144666,0.00004978926981025309,0.00005811858302333384,0.0003503487261444107,0.00040645939323811706,0.00044259361448144665,0.000497892698102531,0.0005811858302333385
"Lao People's Democratic Republic","418",19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,"Iceland","352",64.963051,-19.020835,0,0,0,1,0,1,0,0,0,0.000014733140830115245,0,0,0,0,0.00014733140830115247,0
"Malaysia","458",4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,"Iceland","352",64.963051,-19.020835,9,19,28,35,48,139,0.00003922397543707494,0.00007329247059506079,0.0000975007391774789,0.00011265308870790224,0.0001445783437363978,0.00039223975437074936,0.000732924705950608,0.0009750073917747889,0.0011265308870790224,0.0014457834373639777
"Myanmar","104",21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,"Iceland","352",64.963051,-19.020835,0,0,1,1,4,6,0,0,0.0000020246608551341394,0.000001942352945769564,0.000007487384038671739,0,0,0.00002024660855134139,0.00001942352945769564,0.0000748738403867174
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Iceland","352",64.963051,-19.020835,675,1056,1407,1565,2284,6987,0.0008658483659895634,0.001224188149371821,0.0014867382315740087,0.0015189549318307101,0.002035814341825368,0.008658483659895634,0.01224188149371821,0.014867382315740089,0.0151895493183071,0.02035814341825368
"Singapore","702",1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,"Iceland","352",64.963051,-19.020835,11,13,14,17,21,76,0.00027136359218295236,0.0002992194744923454,0.0002711291949980537,0.0003008839971837258,0.0003553378255930884,0.0027136359218295236,0.002992194744923454,0.0027112919499805367,0.003008839971837258,0.003553378255930885
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"Iceland","352",64.963051,-19.020835,560,822,1062,1196,1500,5140,0.0008879501564401684,0.0012488347247762734,0.0015555769638620869,0.0017014158326160763,0.0020986163906081376,0.008879501564401685,0.012488347247762733,0.015555769638620869,0.017014158326160763,0.020986163906081375
"Timor-Leste","626",-8.874217,125.727539,878360,969313,1088486,1205813,1299995,"Iceland","352",64.963051,-19.020835,0,0,0,1,0,1,0,0,0,0.00008293159884658732,0,0,0,0,0.0008293159884658731,0
